"contig","order","chromosome"
93,1,1
52,2,1
46,3,1
57,4,1
249,5,1
40,6,1
60,7,1
118,8,1
25,9,1
198,10,1
18,11,1
67,12,1
234,13,1
106,14,1
184,15,1
206,16,1
218,17,1
95,18,1
87,19,1
185,20,1
28,21,1
142,22,1
68,23,1
56,24,1
48,25,1
71,26,1
172,27,1
115,28,1
34,29,1
159,30,1
183,31,1
205,32,1
17,33,1
32,34,1
49,35,1
98,36,1
134,37,1
55,38,1
90,39,1
148,40,1
136,41,1
97,42,1
212,43,1
45,1,2
43,2,2
187,3,2
73,4,2
173,5,2
186,6,2
100,7,2
82,8,2
124,9,2
31,10,2
156,11,2
24,12,2
129,13,2
96,14,2
165,15,2
180,16,2
74,17,2
189,18,2
27,19,2
229,20,2
161,21,2
204,22,2
77,23,2
215,24,2
179,25,2
194,26,2
178,27,2
245,28,2
177,29,2
125,30,2
10,31,2
63,32,2
22,33,2
200,34,2
66,35,2
223,36,2
192,37,2
36,38,2
237,39,2
191,40,2
157,1,3
85,2,3
207,3,3
167,4,3
230,5,3
155,6,3
51,7,3
135,8,3
140,9,3
76,10,3
38,11,3
127,12,3
44,13,3
209,14,3
164,15,3
232,16,3
242,17,3
243,18,3
235,19,3
201,20,3
64,21,3
239,22,3
120,23,3
193,1,4
128,2,4
238,3,4
69,4,4
39,5,4
216,6,4
158,7,4
170,8,4
196,9,4
1,10,4
211,11,4
202,12,4
105,13,4
233,14,4
228,15,4
116,16,4
175,17,4
37,18,4
162,19,4
53,20,4
151,21,4
219,22,4
59,23,4
7,24,4
123,25,4
9,26,4
133,27,4
79,28,4
153,29,4
5,30,4
8,31,4
84,32,4
81,33,4
141,34,4
88,35,4
139,36,4
4,37,4
241,38,4
130,39,4
244,40,4
217,41,4
168,42,4
65,43,4
11,44,4
145,1,5
70,2,5
16,3,5
169,4,5
122,5,5
174,6,5
114,7,5
199,8,5
91,9,5
197,10,5
181,11,5
131,12,5
94,13,5
102,14,5
99,15,5
50,16,5
208,17,5
83,18,5
109,19,5
112,20,5
160,21,5
19,22,5
23,23,5
240,24,5
107,25,5
171,26,5
35,27,5
20,28,5
224,29,5
246,30,5
143,31,5
220,32,5
176,33,5
117,34,5
126,35,5
163,36,5
75,37,5
138,38,5
2,39,5
248,40,5
221,41,5
58,1,6
78,2,6
0,3,6
144,4,6
86,5,6
72,6,6
21,7,6
203,8,6
231,9,6
92,10,6
188,11,6
113,12,6
195,13,6
54,14,6
225,15,6
190,16,6
227,17,6
137,18,6
15,19,6
61,20,6
13,21,6
6,22,6
236,23,6
14,1,7
110,2,7
111,3,7
182,4,7
29,5,7
41,6,7
166,7,7
132,8,7
26,9,7
213,10,7
62,11,7
149,12,7
121,13,7
104,14,7
214,15,7
89,16,7
226,17,7
210,18,7
33,19,7
150,20,7
42,21,7
80,22,7
12,23,7
152,24,7
30,25,7
3,26,7
247,27,7
103,28,7
222,29,7
108,30,7
146,31,7
119,32,7
101,33,7
47,34,7
147,35,7
154,36,7
