"contig","order","chromosome"
129,1,1
88,2,1
212,3,1
103,4,1
102,5,1
123,6,1
180,7,1
166,8,1
31,9,1
99,10,1
216,11,1
136,12,1
147,13,1
48,14,1
229,15,1
197,16,1
57,17,1
139,18,1
184,19,1
119,20,1
193,21,1
138,22,1
174,23,1
16,24,1
73,25,1
125,26,1
90,27,1
144,28,1
131,29,1
247,30,1
231,31,1
169,32,1
209,33,1
113,34,1
191,35,1
164,36,1
67,37,1
241,38,1
213,39,1
65,40,1
140,1,2
68,2,2
220,3,2
124,4,2
34,5,2
11,6,2
219,7,2
142,8,2
9,9,2
74,10,2
46,11,2
62,12,2
25,13,2
221,14,2
202,15,2
137,16,2
223,17,2
37,18,2
152,19,2
141,20,2
92,21,2
59,22,2
45,23,2
63,24,2
163,25,2
60,26,2
80,27,2
168,28,2
201,29,2
171,30,2
77,31,2
226,32,2
157,33,2
238,34,2
198,35,2
199,36,2
5,37,2
84,38,2
165,39,2
242,40,2
91,41,2
155,42,2
93,43,2
134,1,3
109,2,3
100,3,3
194,4,3
10,5,3
126,6,3
83,7,3
132,8,3
47,9,3
214,10,3
205,11,3
143,12,3
232,13,3
207,14,3
148,15,3
225,16,3
222,17,3
237,18,3
156,19,3
114,20,3
0,21,3
130,22,3
160,1,4
175,2,4
235,3,4
6,4,4
89,5,4
96,6,4
236,7,4
8,8,4
18,9,4
76,10,4
192,11,4
56,12,4
149,13,4
70,14,4
35,15,4
218,16,4
78,17,4
195,18,4
161,19,4
224,20,4
87,21,4
151,22,4
172,23,4
167,24,4
234,25,4
190,26,4
33,27,4
53,28,4
61,29,4
173,30,4
196,31,4
20,32,4
7,33,4
86,34,4
66,35,4
40,36,4
38,37,4
82,38,4
26,39,4
81,40,4
64,41,4
182,42,4
42,1,5
4,2,5
13,3,5
28,4,5
72,5,5
21,6,5
14,7,5
52,8,5
115,9,5
71,10,5
3,11,5
245,12,5
145,13,5
24,14,5
105,15,5
133,16,5
243,17,5
150,18,5
12,19,5
32,20,5
178,21,5
146,22,5
39,23,5
117,24,5
17,25,5
118,26,5
110,27,5
159,28,5
69,29,5
19,30,5
217,31,5
188,32,5
107,1,6
186,2,6
181,3,6
101,4,6
58,5,6
23,6,6
240,7,6
170,8,6
112,9,6
104,10,6
1,11,6
179,12,6
244,13,6
108,14,6
176,15,6
121,16,6
49,17,6
127,18,6
208,19,6
116,20,6
154,21,6
106,22,6
211,23,6
15,24,6
27,25,6
162,26,6
41,27,6
98,28,6
239,29,6
122,30,6
79,1,7
206,2,7
189,3,7
210,4,7
111,5,7
85,6,7
97,7,7
30,8,7
185,9,7
36,10,7
120,11,7
158,12,7
95,13,7
29,14,7
204,15,7
227,16,7
153,17,7
177,18,7
200,19,7
50,20,7
55,21,7
135,22,7
248,23,7
249,24,7
51,25,7
75,26,7
54,27,7
22,28,7
246,29,7
44,30,7
94,31,7
233,32,7
203,33,7
2,34,7
183,35,7
43,36,7
230,37,7
215,38,7
228,39,7
128,40,7
187,41,7
