"contig","order","chromosome"
124,1,1
66,2,1
226,3,1
25,4,1
201,5,1
38,6,1
98,7,1
154,8,1
143,9,1
149,10,1
224,11,1
86,12,1
45,13,1
40,14,1
209,15,1
13,16,1
186,17,1
219,18,1
113,19,1
181,20,1
39,21,1
199,22,1
57,23,1
236,24,1
246,25,1
192,26,1
63,27,1
104,28,1
83,29,1
161,30,1
106,31,1
26,32,1
249,33,1
158,34,1
239,35,1
125,36,1
17,37,1
180,38,1
225,39,1
72,40,1
216,41,1
248,42,1
194,43,1
211,44,1
7,1,2
198,2,2
52,3,2
120,4,2
202,5,2
81,6,2
140,7,2
187,8,2
123,9,2
110,10,2
131,11,2
130,12,2
32,13,2
243,14,2
54,15,2
55,16,2
182,17,2
12,18,2
101,19,2
9,20,2
27,21,2
53,22,2
4,23,2
195,24,2
168,25,2
214,26,2
176,27,2
92,28,2
193,29,2
95,30,2
165,31,2
233,32,2
232,33,2
134,34,2
136,35,2
167,36,2
247,37,2
67,38,2
227,39,2
8,40,2
150,41,2
60,42,2
244,43,2
80,44,2
179,45,2
88,46,2
189,1,3
68,2,3
164,3,3
41,4,3
42,5,3
69,6,3
11,7,3
77,8,3
90,9,3
203,10,3
61,11,3
35,12,3
56,13,3
117,14,3
241,15,3
126,16,3
118,17,3
212,18,3
245,1,4
157,2,4
215,3,4
217,4,4
223,5,4
142,6,4
151,7,4
108,8,4
18,9,4
71,10,4
43,11,4
145,12,4
76,13,4
127,14,4
206,15,4
103,16,4
105,17,4
129,18,4
115,19,4
210,20,4
47,21,4
204,22,4
10,23,4
229,24,4
107,25,4
220,26,4
20,27,4
58,28,4
3,29,4
5,30,4
37,31,4
218,32,4
208,33,4
146,34,4
102,35,4
21,36,4
156,37,4
22,38,4
191,1,5
14,2,5
137,3,5
84,4,5
0,5,5
152,6,5
128,7,5
94,8,5
242,9,5
62,10,5
160,11,5
78,12,5
34,13,5
155,14,5
48,15,5
33,16,5
190,17,5
89,18,5
153,19,5
141,20,5
237,21,5
169,22,5
19,23,5
79,24,5
197,25,5
112,26,5
135,27,5
196,28,5
173,29,5
159,30,5
200,31,5
172,32,5
91,33,5
50,34,5
111,35,5
138,36,5
166,37,5
70,38,5
228,39,5
230,40,5
178,1,6
116,2,6
99,3,6
205,4,6
65,5,6
82,6,6
183,7,6
235,8,6
74,9,6
163,10,6
147,11,6
119,12,6
188,13,6
139,14,6
144,15,6
30,16,6
171,17,6
213,18,6
184,19,6
44,20,6
175,21,6
234,22,6
93,23,6
132,24,6
16,25,6
222,26,6
49,27,6
231,28,6
207,29,6
24,30,6
29,31,6
36,1,7
121,2,7
100,3,7
177,4,7
2,5,7
75,6,7
6,7,7
122,8,7
97,9,7
133,10,7
28,11,7
238,12,7
221,13,7
31,14,7
240,15,7
51,16,7
85,17,7
46,18,7
114,19,7
148,20,7
170,21,7
174,22,7
64,23,7
23,24,7
15,25,7
1,26,7
59,27,7
96,28,7
73,29,7
162,30,7
109,31,7
185,32,7
87,33,7
