"contig","order","chromosome"
160,1,1
201,2,1
161,3,1
169,4,1
29,5,1
159,6,1
182,7,1
173,8,1
19,9,1
231,10,1
138,11,1
155,12,1
126,13,1
44,14,1
30,15,1
178,16,1
217,17,1
172,18,1
103,19,1
156,20,1
51,21,1
64,22,1
75,23,1
204,24,1
157,25,1
50,26,1
31,27,1
11,28,1
232,29,1
8,30,1
230,31,1
105,32,1
65,33,1
122,34,1
181,35,1
70,36,1
82,37,1
7,38,1
241,39,1
133,40,1
106,41,1
224,42,1
93,43,1
146,44,1
247,45,1
114,46,1
170,47,1
152,48,1
124,49,1
206,50,1
130,51,1
148,52,1
110,53,1
175,1,2
88,2,2
229,3,2
56,4,2
225,5,2
219,6,2
28,7,2
125,8,2
216,9,2
57,10,2
115,11,2
183,12,2
158,13,2
245,14,2
200,15,2
233,16,2
63,17,2
189,18,2
149,19,2
94,20,2
15,21,2
18,22,2
151,23,2
78,24,2
24,25,2
226,26,2
246,27,2
214,28,2
104,29,2
6,30,2
249,31,2
248,32,2
14,1,3
144,2,3
117,3,3
83,4,3
207,5,3
137,6,3
91,7,3
180,8,3
123,9,3
134,10,3
86,11,3
38,12,3
171,13,3
240,14,3
111,15,3
141,16,3
72,17,3
223,18,3
107,19,3
59,20,3
196,21,3
177,22,3
243,23,3
191,24,3
197,25,3
244,26,3
95,27,3
186,28,3
199,29,3
58,1,4
54,2,4
109,3,4
12,4,4
164,5,4
61,6,4
147,7,4
33,8,4
1,9,4
163,10,4
202,11,4
71,12,4
120,13,4
40,14,4
48,15,4
9,16,4
96,17,4
32,18,4
145,19,4
187,20,4
168,21,4
228,22,4
67,23,4
205,24,4
192,25,4
174,26,4
100,27,4
193,28,4
127,29,4
227,30,4
195,31,4
222,32,4
135,1,5
221,2,5
47,3,5
36,4,5
211,5,5
165,6,5
101,7,5
46,8,5
153,9,5
66,10,5
92,11,5
87,12,5
113,13,5
74,14,5
119,15,5
203,16,5
49,17,5
176,18,5
98,19,5
85,20,5
116,21,5
108,22,5
208,23,5
150,24,5
239,25,5
22,26,5
162,27,5
80,28,5
198,29,5
118,30,5
41,31,5
81,32,5
0,33,5
2,34,5
4,35,5
52,36,5
235,37,5
39,1,6
43,2,6
45,3,6
142,4,6
236,5,6
128,6,6
69,7,6
190,8,6
242,9,6
188,10,6
212,11,6
99,12,6
84,13,6
167,14,6
194,15,6
20,16,6
184,17,6
53,18,6
16,19,6
213,20,6
42,21,6
131,22,6
35,1,7
73,2,7
143,3,7
90,4,7
140,5,7
25,6,7
121,7,7
112,8,7
34,9,7
132,10,7
76,11,7
154,12,7
21,13,7
62,14,7
139,15,7
166,16,7
89,17,7
234,18,7
27,19,7
5,20,7
60,21,7
102,22,7
215,23,7
209,24,7
129,25,7
10,26,7
17,27,7
3,28,7
55,29,7
37,30,7
238,31,7
179,32,7
13,33,7
77,34,7
218,35,7
97,36,7
237,37,7
185,38,7
23,39,7
79,40,7
136,41,7
220,42,7
210,43,7
26,44,7
68,45,7
