"contig","order","chromosome"
73,1,1
108,2,1
242,3,1
158,4,1
205,5,1
148,6,1
26,7,1
112,8,1
139,9,1
107,10,1
150,11,1
162,12,1
89,13,1
224,14,1
207,15,1
16,16,1
163,17,1
135,18,1
53,19,1
177,20,1
197,21,1
83,22,1
31,23,1
87,24,1
227,25,1
248,26,1
61,27,1
36,28,1
175,29,1
12,30,1
121,31,1
64,32,1
100,33,1
154,34,1
125,35,1
102,36,1
30,37,1
71,38,1
236,39,1
19,40,1
213,41,1
195,42,1
201,43,1
38,44,1
7,45,1
70,46,1
91,47,1
72,1,2
99,2,2
222,3,2
147,4,2
130,5,2
164,6,2
47,7,2
185,8,2
40,9,2
109,10,2
180,11,2
176,12,2
78,13,2
59,14,2
122,15,2
186,16,2
101,17,2
27,18,2
43,19,2
153,20,2
35,21,2
45,22,2
57,23,2
54,24,2
169,25,2
208,1,3
182,2,3
111,3,3
216,4,3
189,5,3
220,6,3
123,7,3
237,8,3
66,9,3
246,10,3
9,11,3
97,12,3
132,13,3
3,14,3
18,15,3
55,16,3
114,17,3
128,18,3
190,19,3
196,20,3
120,21,3
145,22,3
249,23,3
77,24,3
247,25,3
48,26,3
33,27,3
119,28,3
168,29,3
244,30,3
93,31,3
126,32,3
144,33,3
8,1,4
170,2,4
157,3,4
155,4,4
214,5,4
49,6,4
167,7,4
62,8,4
50,9,4
179,10,4
56,11,4
92,12,4
95,13,4
11,14,4
0,15,4
143,16,4
90,17,4
81,18,4
116,19,4
198,20,4
88,21,4
96,22,4
34,23,4
2,24,4
68,25,4
183,26,4
98,27,4
223,28,4
6,29,4
4,30,4
32,31,4
25,32,4
79,33,4
191,34,4
146,35,4
217,36,4
117,1,5
127,2,5
105,3,5
115,4,5
149,5,5
94,6,5
106,7,5
124,8,5
129,9,5
212,10,5
202,11,5
219,12,5
239,13,5
204,14,5
221,15,5
156,16,5
110,17,5
14,18,5
23,19,5
67,20,5
69,21,5
225,22,5
65,23,5
37,24,5
230,25,5
58,26,5
41,27,5
218,28,5
232,29,5
161,30,5
5,31,5
215,32,5
241,33,5
171,34,5
44,35,5
184,36,5
76,37,5
21,38,5
243,39,5
60,40,5
245,41,5
140,42,5
211,1,6
142,2,6
85,3,6
15,4,6
187,5,6
200,6,6
203,7,6
173,8,6
181,9,6
118,10,6
20,11,6
178,12,6
86,13,6
22,14,6
74,15,6
234,16,6
160,17,6
52,18,6
134,19,6
51,20,6
137,21,6
228,22,6
192,23,6
238,24,6
104,25,6
141,1,7
80,2,7
28,3,7
151,4,7
75,5,7
42,6,7
84,7,7
174,8,7
226,9,7
231,10,7
24,11,7
206,12,7
229,13,7
63,14,7
138,15,7
188,16,7
159,17,7
17,18,7
193,19,7
1,20,7
46,21,7
29,22,7
131,23,7
133,24,7
166,25,7
39,26,7
10,27,7
194,28,7
233,29,7
136,30,7
82,31,7
199,32,7
152,33,7
103,34,7
113,35,7
172,36,7
240,37,7
209,38,7
165,39,7
210,40,7
13,41,7
235,42,7
