contig	cluster
0	5
1	4
2	5
3	7
4	5
5	7
6	2
7	1
8	1
9	4
10	7
11	1
12	4
13	7
14	3
15	2
16	6
17	7
18	2
19	1
20	6
21	7
22	5
23	7
24	2
25	7
26	7
27	7
28	2
29	1
30	1
31	1
32	4
33	4
34	7
35	7
36	5
37	7
38	3
39	6
40	4
41	5
42	6
43	6
44	1
45	6
46	5
47	5
48	4
49	5
50	1
51	1
52	5
53	6
54	4
55	7
56	2
57	2
58	4
59	3
60	7
61	4
62	7
63	2
64	1
65	1
66	5
67	4
68	7
69	6
70	1
71	4
72	3
73	7
74	5
75	1
76	7
77	7
78	2
79	7
80	5
81	5
82	1
83	3
84	6
85	5
86	3
87	5
88	2
89	7
90	7
91	3
92	5
93	1
94	2
95	3
96	4
97	7
98	5
99	6
100	4
101	5
102	7
103	1
104	2
105	1
106	1
107	3
108	5
109	4
110	1
111	3
112	7
113	5
114	1
115	2
116	5
117	3
118	5
119	5
120	4
121	7
122	1
123	3
124	1
125	2
126	1
127	4
128	6
129	7
130	1
131	6
132	7
133	1
134	3
135	5
136	7
137	3
138	1
139	7
140	7
141	3
142	6
143	7
144	3
145	4
146	1
147	4
148	1
149	2
150	5
151	2
152	1
153	5
154	7
155	1
156	1
157	1
158	2
159	1
160	1
161	1
162	5
163	4
164	4
165	5
166	7
167	6
168	4
169	1
170	1
171	3
172	1
173	1
174	4
175	2
176	5
177	3
178	1
179	7
180	3
181	1
182	1
183	2
184	6
185	7
186	3
187	4
188	6
189	2
190	6
191	3
192	4
193	4
194	6
195	4
196	3
197	3
198	5
199	3
200	2
201	1
202	4
203	5
204	1
205	4
206	1
207	3
208	5
209	7
210	7
211	5
212	6
213	6
214	2
215	7
216	2
217	1
218	7
219	2
220	7
221	5
222	4
223	3
224	1
225	2
226	2
227	4
228	4
229	2
230	1
231	1
232	1
233	2
234	7
235	5
236	6
237	7
238	7
239	5
240	3
241	1
242	6
243	3
244	3
245	2
246	2
247	1
248	2
249	2
